id,area,name,type,type2,Lat,Lon,totalcar
298,文山區,三福街平面停車場,1,2,24.99839358381293,121.54288744055381,38
299,士林區,台北市立大學天母校區地下停車場,1,2,25.11608667324249,121.53644438682105,462
300,松山區,吉祥平面停車場,1,2,25.05033437435054,121.56122353352563,30
301,南港區,南港車站地下停車場,1,2,25.052106944868672,121.60374313088894,1100
302,大同區,正義國小地下停車場,1,1,25.065036864807237,121.4961164213917,10
303,大同區,正義公園地下停車場,1,1,25.068521810521972,121.49743390470519,196
304,萬華區,華翠橋下A、B、G區停車場,1,1,25.026646612474124,121.48324404477854,149
305,萬華區,新北市萬板大橋停車場,1,1,25.02782352925858,121.48363014578474,389
306,萬華區,永和仁愛公園地下停車場,1,1,25.01102714103566,121.50653492985901,645
307,北投區,洲美運動公園地下停車場,1,2,25.109730199985957,121.49939079851912,85
308,士林區,延平北路5段1巷平面停車場,1,1,25.078687777385813,121.51001764375548,154
309,文山區,景豐臨時平面停車場,1,2,25.00260006792661,121.54473618588439,43
310,北投區,中央北路四段平面停車場,1,2,25.1281179074116,121.46768407597608,25
311,士林區,天母公園平面停車場,1,2,25.125405422125393,121.53126237055261,13
312,北投區,行義路平面停車場,1,2,25.123817630394765,121.52618652288592,21
313,士林區,社中街平面停車場,1,2,25.08969605088942,121.51053934577942,30
314,士林區,社正路平面停車場,1,2,25.088068991942137,121.509075132219,31
315,大同區,京站停車場,1,2,25.049177470170513,121.51794124617035,556
316,內湖區,台北市南湖高級中學地下停車場,1,2,25.06649941363238,121.61064004402297,162
317,萬華區,臺北市萬華區行政中心地下停車場,1,2,25.034763788629526,121.49984626990218,215
318,萬華區,華江橋下雙層停車場,1,2,25.035433572219848,121.49134962293107,153
319,萬華區,東園平面停車場,1,2,25.016771284315027,121.49498390854116,75
320,南港區,昆陽捷運站旁平面停車場,1,2,25.049449231459807,121.58900446903269,47
321,南港區,昆陽捷運站旁平面停車場(二),1,2,25.049449231459807,121.58900446903269,41
322,南港區,昆陽捷運站旁平面停車場(三),1,2,25.049449231459807,121.58900446903269,36
323,信義區,松德臨時平面停車場,1,2,25.031479328191125,121.57350994936873,101
324,信義區,松德停車場,1,2,25.03437990915595,121.57321646362273,52
325,中山區,建國停車場,1,2,25.047526401075856,121.53945629041107,40
326,文山區,興隆市場旁停車場,1,2,24.999665091829268,121.54712940892372,35
327,文山區,溪洲街平面停車場,1,2,25.004191609552233,121.53541887387485,17
328,信義區,吳興街284巷臨時平面停車場,1,2,25.02512653395827,121.56367338879086,50
329,大同區,應安１６８大龍停車場,1,2,25.06887098530702,121.51728292365559,41
330,文山區,臺北市文山區文山行政中心地面停車場,1,2,24.98956507669833,121.57009232725466,55
331,中正區,耕莘文教院前平面停車場,1,2,25.0194254405184,121.52891896467915,57
332,信義區,廣慈臨時平面停車場,1,2,25.039650751626688,121.58268675907561,109
333,中正區,同安街平面停車場,1,2,25.020990699085264,121.52084828447204,21
334,文山區,台北市文山運動中心停車場,1,2,24.996898873287467,121.55948615161424,79
335,萬華區,大理地下停車場,1,2,25.034161009061137,121.49354400050593,49
336,信義區,松山火車站東側機車停車場,1,2,25.04918429005624,121.57814987561078,0
337,信義區,松山火車站西側機車停車場,1,2,25.049184405767225,121.57812014465665,0
338,北投區,好市多北投分公司,1,2,25.12682442072627,121.47140146635523,690
339,中山區,濱江市場地下停車場,1,2,25.06765106783825,121.53735122582944,349
340,南港區,南港立體停車場,1,2,25.052425237176696,121.60652162656548,406
341,內湖區,台北企業總部湖區地下停車場,1,2,25.05925300112175,121.58684207789388,348
342,中正區,國立臺灣大學水源停車場,1,2,25.01377128219988,121.5299167010918,143
343,內湖區,好市多內湖分公司,1,2,25.06396328099743,121.57614299682413,690
344,南港區,日月亭松山車站停車場,1,2,25.04929894314585,121.58113519030435,320
355,南港區,臺北市立聯合醫院忠孝院區停車場,1,2,25.046470953313356,121.58670669512699,20
356,中正區,臺北市立聯合醫院和平婦幼院區停車場,1,2,25.02908262899119,121.519290457097,8
357,中正區,臺北市立聯合醫院和平院區停車場,1,2,25.03560461098127,121.50734910683775,9
358,大安區,臺北市立聯合醫院仁愛院區停車場,1,2,25.037483368490143,121.54500498543483,41
359,大同區,臺北市立聯合醫院中興院區停車場,1,2,25.051065451900712,121.50857916899824,80
360,士林區,臺北市立聯合醫院陽明院區停車場,1,2,25.105659456663794,121.53164893932374,39
361,南港區,台北南港展覽館停車場,1,2,25.05582707541028,121.61888554310136,607
362,大同區,台北城大飯店停車場,1,2,25.059616190775948,121.51344216652781,21
363,中正區,好亭廣愛停車場,1,2,25.03593233898633,121.50914189567388,156
364,中正區,好亭南昌路停車場,1,2,25.03120327595833,121.51668998503186,17
365,大同區,全國停車場重慶站,1,2,25.059124985517283,121.51383012202353,481
372,松山區,八德立體停車場,1,2,25.04971639851937,121.57171286563666,310
373,內湖區,臺北市網球中心停車場,1,2,25.06632998154377,121.59666754128065,346
A101,士林區,三腳渡平面停車場,2,,25.082204825802325,121.5165783390021,124
A114,士林區,台灣聯通新光停車場,2,,25.09108760601031,121.52082018656911,32
A124,士林區,義信區民活動中心基河10號國宅地下停車場,2,,25.089011839597937,121.52256020125789,6
A126,士林區,Times基河劍潭,2,,25.082863746556338,121.52414241644398,44
A127,士林區,新光三越百貨天母分公司二館停車場,2,,25.117709044343187,121.53430952139178,131
